tf,target,weight,importance,interaction,edge_color,edge_width
KIDINS220,BRI3,0.10787179321050644,0.10787179321050644,activation,#00FF00,0.5432213343100054
AIDA,BRI3,0.10468441247940063,0.10468441247940063,activation,#00FF00,0.5271703059348077
TMED2,BRI3BP,0.30762147903442383,0.30762147903442383,activation,#00FF00,1.5491218355608214
SRSF9,BRI3BP,0.15936896204948425,0.15936896204948425,activation,#00FF00,0.8025510435631611
CCDC57,BRI3BP,0.11429703235626221,0.11429703235626221,activation,#00FF00,0.5755775868403321
CAPN15,BRICD5,0.17628216743469238,0.17628216743469238,activation,#00FF00,0.887722650740236
UBE2D3,BRICD5,-0.16399815678596497,0.16399815678596497,repression,#FF0000,0.8258627663656608
ZNF205,BRICD5,0.14412279427051544,0.14412279427051544,activation,#00FF00,0.7257743129877857
LSM3,BRK1,0.3666376769542694,0.3666376769542694,activation,#00FF00,1.8463159103581188
ABHD14B,BRK1,0.0974985882639885,0.0974985882639885,activation,#00FF00,0.5
STAMBP,BRK1,-0.09735305607318878,0.09735305607318878,repression,#FF0000,0.5
ZDHHC24,BRMS1,0.34673890471458435,0.34673890471458435,activation,#00FF00,1.7461095701698315
SDHA,BRMS1,-0.10880126804113388,0.10880126804113388,repression,#FF0000,0.5479019884705949
ZMYM3,BRMS1,-0.09906136244535446,0.09906136244535446,repression,#FF0000,0.5
SRP54,BRMS1L,0.28634005784988403,0.28634005784988403,activation,#00FF00,1.4419527446630818
HECTD1,BRMS1L,0.14016960561275482,0.14016960561275482,activation,#00FF00,0.7058668250937332
SYF2,BRMS1L,-0.10067861527204514,0.10067861527204514,repression,#FF0000,0.5069978916345418
AIDA,BROX,0.4123871624469757,0.4123871624469757,activation,#00FF00,2.0767014060812365
KLHL20,BROX,0.1635032296180725,0.1635032296180725,activation,#00FF00,0.8233704095731474
ZNF136,BROX,0.14514164626598358,0.14514164626598358,activation,#00FF00,0.730905053137461
RNF5P1,BRPF3,0.23308762907981873,0.23308762907981873,activation,#00FF00,1.1737838883683493
PSMG2,BRPF3,-0.13396362960338593,0.13396362960338593,repression,#FF0000,0.6746147389999524
DPP9,BRPF3,-0.13208414614200592,0.13208414614200592,repression,#FF0000,0.6651500264618746
PPP6R1,BRSK1,0.18607182800769806,0.18607182800769806,activation,#00FF00,0.9370214740992998
ENTPD5,BRSK1,-0.1453283429145813,0.1453283429145813,repression,#FF0000,0.73184522108632
